date_time,date_time,date_time,pm2.5_nova,pm10_nova
24,0,5,15.7152173913,22.6652173913
24,0,6,15.6043478261,22.3717391304
24,0,7,15.6488888889,23.2466666667
24,0,8,15.3717391304,23.0391304348
24,0,9,15.6673913043,23.3739130435
24,0,10,15.5956521739,24.197826087
24,0,11,15.5173913043,23.6891304348
24,0,12,16.202173913,24.9717391304
24,0,13,15.4086956522,23.2652173913
24,0,14,15.2217391304,21.8717391304
24,0,15,15.7444444444,22.6622222222
24,0,16,15.8260869565,22.0826086957
24,0,17,15.2108695652,21.1
24,0,18,16.0434782609,24.1260869565
24,0,19,14.8565217391,20.8847826087
24,0,20,15.402173913,21.5543478261
24,0,21,15.6130434783,22.3891304348
24,0,22,15.8239130435,23.3304347826
24,0,23,15.6333333333,23.2
24,0,24,15.4434782609,21.9347826087
24,0,25,15.9152173913,24.4630434783
24,0,26,15.5413043478,22.0239130435
24,0,27,15.9760869565,24.1630434783
24,0,28,15.2391304348,21.9695652174
24,0,29,15.5652173913,21.697826087
24,0,30,15.3913043478,22.3760869565
24,0,31,15.4282608696,22.6630434783
24,0,32,15.5511111111,22.9888888889
24,0,33,15.8760869565,23.3847826087
24,0,34,15.5673913043,22.8869565217
24,0,35,15.3065217391,23.4130434783
24,0,36,15.5717391304,22.5434782609
24,0,37,15.4347826087,22.4239130435
24,0,38,14.9304347826,20.8260869565
24,0,39,15.6608695652,22.3782608696
24,0,40,15.2666666667,22.2288888889
24,0,41,15.5195652174,23.4586956522
24,0,42,15.2326086957,23.3369565217
24,0,43,14.9630434783,21.7543478261
24,0,44,15.3760869565,21.8673913043
24,0,45,14.6413043478,20.0608695652
24,0,46,15.0108695652,23.7804347826
24,0,47,15.5043478261,23.9347826087
24,0,48,15.1533333333,22.2111111111
24,0,49,15.4413043478,23.0434782609
24,0,50,15.3956521739,21.8173913043
24,0,51,15.1543478261,22.0152173913
24,0,52,15.0152173913,21.7717391304
24,0,53,14.9739130435,20.9673913043
24,0,54,15.3913043478,22.9717391304
24,0,55,15.3065217391,21.5804347826
24,0,56,15.2533333333,22.6777777778
24,0,57,15.1543478261,21.6108695652
24,0,58,15.1956521739,22.2543478261
24,0,59,14.9847826087,21.6326086957
24,1,0,14.902173913,22.2608695652
24,1,1,15.3695652174,22.247826087
24,1,2,15.4086956522,22.8065217391
24,1,3,15.4108695652,23.047826087
24,1,4,14.8913043478,21.0586956522
24,1,5,15.5377777778,23.4555555556
24,1,6,14.9043478261,20.9086956522
24,1,7,14.747826087,20.402173913
24,1,8,15.2934782609,21.2891304348
24,1,9,15.1108695652,20.5804347826
24,1,10,15.4368421053,25.1421052632
