date,PM10,PM2.5,PM1
5/23/2019 7:38:19 PM,42.4,17.5,14.1
5/23/2019 7:38:25 PM,43.4,20.1,14.8
5/23/2019 7:38:31 PM,48.9,19.4,14.5
5/23/2019 7:38:37 PM,32.1,19.5,14.3
5/23/2019 7:38:43 PM,33.4,21.8,14.2
5/23/2019 7:38:49 PM,37.5,19.8,14.1
5/23/2019 7:38:55 PM,53.9,18.1,13.7
5/23/2019 7:39:01 PM,38.7,22.8,14.8
5/23/2019 7:39:07 PM,42,20.2,14
5/23/2019 7:39:13 PM,49.9,17.7,13.7
5/23/2019 7:39:19 PM,51.5,23.2,14.5
5/23/2019 7:39:25 PM,67.9,22.9,15.1
5/23/2019 7:39:31 PM,57,21.4,14.3
5/23/2019 7:39:37 PM,47.8,21.5,14.5
5/23/2019 7:39:43 PM,54.9,19.7,14.4
5/23/2019 7:39:49 PM,54,21.6,14.6
5/23/2019 7:39:55 PM,76.2,20.1,14.6
5/23/2019 7:40:01 PM,37.2,22.4,15.8
5/23/2019 7:40:07 PM,72.9,21.2,14.8
5/23/2019 7:40:13 PM,50.1,21.5,15.5
5/23/2019 7:40:19 PM,43.4,18.3,15
5/23/2019 7:40:25 PM,36.2,21.8,15
5/23/2019 7:40:31 PM,55.6,23,15
5/23/2019 7:40:37 PM,33,22.5,14.9
5/23/2019 7:40:43 PM,43.6,23.7,15.8
5/23/2019 7:40:49 PM,47.1,21.1,14.4
5/23/2019 7:40:55 PM,44.3,20.6,14.7
5/23/2019 7:41:01 PM,67.5,23.2,15.7
5/23/2019 7:41:07 PM,40.8,20.2,14.9
5/23/2019 7:41:13 PM,54,19.1,14
5/23/2019 7:41:19 PM,40.6,19.9,14.8
5/23/2019 7:41:25 PM,38.8,23.7,15.3
5/23/2019 7:41:31 PM,37.6,21.6,15.2
5/23/2019 7:41:37 PM,58.4,23,15.2
5/23/2019 7:41:43 PM,41.7,22.2,14.9
5/23/2019 7:41:49 PM,54.2,24.1,15.4
5/23/2019 7:41:55 PM,56.7,21.8,14.7
5/23/2019 7:42:01 PM,70,19.7,14.9
5/23/2019 7:42:07 PM,36.7,22,15.4
5/23/2019 7:42:13 PM,54.4,22.8,16
5/23/2019 7:42:19 PM,27.2,20.7,15.6
5/23/2019 7:42:25 PM,53.6,24,15.4
5/23/2019 7:42:31 PM,62.7,22.4,15.9
5/23/2019 7:42:37 PM,49,22,15.8
5/23/2019 7:42:43 PM,40.8,23.4,16.3
5/23/2019 7:42:49 PM,56.9,18.5,14.5
5/23/2019 7:42:55 PM,82.3,27.4,16.3
5/23/2019 7:43:01 PM,50.5,22.3,15.4
5/23/2019 7:43:07 PM,31.8,20.6,14.6
5/23/2019 7:43:13 PM,84.7,22.2,15.7
5/23/2019 7:43:19 PM,58.3,22.4,15
5/23/2019 7:43:25 PM,46.5,22,16
5/23/2019 7:43:31 PM,66,23,15.3
5/23/2019 7:43:37 PM,60.5,23.7,15.7
5/23/2019 7:43:43 PM,32.8,23.6,15.1
5/23/2019 7:43:49 PM,52.4,21,14.8
5/23/2019 7:43:55 PM,52.1,21.2,14.6
5/23/2019 7:44:01 PM,71.1,22.1,15.7
5/23/2019 7:44:07 PM,32.5,23.3,15.4
5/23/2019 7:44:13 PM,47.6,21,15
5/23/2019 7:44:19 PM,65.6,20.6,14.8
5/23/2019 7:44:25 PM,47.5,19.6,14
5/23/2019 7:44:31 PM,34.9,20.8,14.6
5/23/2019 7:44:37 PM,58.3,19.7,14.3
5/23/2019 7:44:43 PM,40.6,24,15
5/23/2019 7:44:49 PM,60.6,20.4,13.7
5/23/2019 7:44:55 PM,44.5,20.1,14.6
5/23/2019 7:45:01 PM,62.2,21.1,14.1
5/23/2019 7:45:07 PM,34,21.2,15.2
5/23/2019 7:45:13 PM,51.3,20.1,14.2
5/23/2019 7:45:19 PM,48.4,20.1,14.2
5/23/2019 7:45:25 PM,60.5,19.7,14.2
5/23/2019 7:45:31 PM,40.5,18.7,14.2
5/23/2019 7:45:37 PM,49.9,21.4,14.3
5/23/2019 7:45:43 PM,61.7,22.1,14.1
5/23/2019 7:45:49 PM,35.6,17.4,13.3
5/23/2019 7:45:55 PM,86.1,19.7,14.2
5/23/2019 7:46:01 PM,60.2,19.4,13.8
5/23/2019 7:46:07 PM,64.7,20.1,13.8
5/23/2019 7:46:13 PM,39.7,22.4,14.9
5/23/2019 7:46:19 PM,49.3,19.9,14
5/23/2019 7:46:25 PM,54.8,19.6,13.4
5/23/2019 7:46:31 PM,51.6,19.9,14.1
5/23/2019 7:46:37 PM,49.7,23.2,13.8
5/23/2019 7:46:43 PM,88.9,22.4,14.2
5/23/2019 7:46:49 PM,40,20.3,13.7
5/23/2019 7:46:55 PM,67.3,19.8,13.9
5/23/2019 7:47:01 PM,59.4,20.1,13.7
5/23/2019 7:47:07 PM,46.4,20,13.7
5/23/2019 7:47:13 PM,47.5,20.8,14
